REGION,SALARY,YEAR
SUMATERA BARAT,119000,1997
SUMATERA BARAT,137000,1998
SUMATERA BARAT,160000,1999
SUMATERA BARAT,200000,2000
SUMATERA BARAT,250000,2001
SUMATERA BARAT,385000,2002
SUMATERA BARAT,435000,2003
SUMATERA BARAT,480000,2004
SUMATERA BARAT,540000,2005
SUMATERA BARAT,650000,2006
SUMATERA BARAT,725000,2007
SUMATERA BARAT,800000,2008
SUMATERA BARAT,880000,2009
SUMATERA BARAT,940000,2010
SUMATERA BARAT,1055000,2011
SUMATERA BARAT,1150000,2012
SUMATERA BARAT,1350000,2013
SUMATERA BARAT,1490000,2014
SUMATERA BARAT,1615000,2015
SUMATERA BARAT,1800725,2016
SUMATERA BARAT,1949284,2017
SUMATERA BARAT,2119067,2018
SUMATERA BARAT,2289220,2019
SUMATERA BARAT,2484041,2020
SUMATERA BARAT,2484041,2021
SUMATERA BARAT,2512539,2022
